id,group,gate,source,source_line,source_text,requirement,classification,claim_label,gate_disposition,authority_homes,source_homes,test_homes,evidence_homes,acceptance_evidence,dependency,mapping_limit,plan_classification,closure_evidence,also_required_by
LAA-A-05,LAA-A,A,docs/LIVING-ALPHA-ACCEPTANCE.md,44,"5. No new Player verb, Genesis mutation, or room-bound change is introduced to repair integration.","No new Player verb, Genesis mutation, or room-bound change is introduced to repair integration.",contract_closed,OBSERVED,ACCEPTED_HISTORICAL,"[""acceptance""]",[],[],"[""gate-a""]",ACCEPTED_2026_08_25_ONLY,Preserve accepted packet; P2 regression is a new candidate check.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-B-01,LAA-B,B,docs/LIVING-ALPHA-ACCEPTANCE.md,50,1. At least three independently controlled external Agent Players participate.,At least three independently controlled external Agent Players participate.,evidence_gap,OBSERVED,BLOCKED,"[""acceptance"", ""gate-b"", ""protocol"", ""identity""]","[""enroll-source""]","[""enroll-test""]","[""trace-b""]",NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P2 evidence path review, explicit approvals, P3 independent external run and review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-B-02,LAA-B,B,docs/LIVING-ALPHA-ACCEPTANCE.md,51,2. Each uses the supported onboarding and command path.,Each uses the supported onboarding and command path.,evidence_gap,OBSERVED,BLOCKED,"[""acceptance"", ""gate-b"", ""protocol"", ""identity""]","[""enroll-source""]","[""enroll-test""]","[""trace-b""]",NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P2 evidence path review, explicit approvals, P3 independent external run and review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-B-03,LAA-B,B,docs/LIVING-ALPHA-ACCEPTANCE.md,52,"3. Each can orient, act, disconnect, and reconnect without private strategy guidance.","Each can orient, act, disconnect, and reconnect without private strategy guidance.",evidence_gap,OBSERVED,BLOCKED,"[""acceptance"", ""gate-b"", ""protocol"", ""identity""]",[],[],"[""trace-b""]",NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P2 evidence path review, explicit approvals, P3 independent external run and review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-B-04,LAA-B,B,docs/LIVING-ALPHA-ACCEPTANCE.md,53,"4. Concurrent conflicts settle through declared ordering, idempotency, and budget rules.","Concurrent conflicts settle through declared ordering, idempotency, and budget rules.",evidence_gap,OBSERVED,BLOCKED,"[""acceptance"", ""gate-b"", ""protocol"", ""identity""]",[],[],"[""trace-b""]",NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P2 evidence path review, explicit approvals, P3 independent external run and review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-B-05,LAA-B,B,docs/LIVING-ALPHA-ACCEPTANCE.md,54,"5. Human principals remain spectators, authorizers, researchers, or operators, never Players.","Human principals remain spectators, authorizers, researchers, or operators, never Players.",evidence_gap,OBSERVED,BLOCKED,"[""acceptance"", ""gate-b"", ""protocol"", ""identity""]",[],[],"[""trace-b""]",NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P2 evidence path review, explicit approvals, P3 independent external run and review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-01,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,62,1. resource or transport pressure changes a decision;,resource or transport pressure changes a decision;,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""economy-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-02,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,63,2. mastery or specialization creates a meaningful difference;,mastery or specialization creates a meaningful difference;,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""practice-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-03,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,64,"3. trade, shared repair, or construction makes coordination preferable to isolation;","trade, shared repair, or construction makes coordination preferable to isolation;",evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""economy-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-04,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,65,4. social memory affects a later decision without a universal score;,social memory affects a later decision without a universal score;,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""social-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-05,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,66,"5. an organization uses bounded authority, office, agreement, or access policy;","an organization uses bounded authority, office, agreement, or access policy;",evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""office-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-06,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,67,6. communication limits or persistent notices affect coordination;,communication limits or persistent notices affect coordination;,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""communication-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-07,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,68,7. conflict or disruption has a recovery path;,conflict or disruption has a recovery path;,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""communication-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-08,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,69,8. state and consequences survive restart.,state and consequences survive restart.,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],"[""recovery-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-C-09,LAA-C,C,docs/LIVING-ALPHA-ACCEPTANCE.md,71,At least two materially different viable strategies must exist. A dominant script or isolated minigame is an integration defect.,At least two materially different viable strategies must exist. A dominant script or isolated minigame is an integration defect.,evidence_gap,OBSERVED,BLOCKED,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-D-01,LAA-D,D,docs/LIVING-ALPHA-ACCEPTANCE.md,77,- the important visible change;,the important visible change;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]","[""watch-source""]","[""watch-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, P5 public-only uninvolved review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-D-02,LAA-D,D,docs/LIVING-ALPHA-ACCEPTANCE.md,78,- involved public actors and locations;,involved public actors and locations;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]","[""watch-source""]","[""watch-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, P5 public-only uninvolved review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-D-03,LAA-D,D,docs/LIVING-ALPHA-ACCEPTANCE.md,79,- the observable consequence;,the observable consequence;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]","[""watch-source""]","[""watch-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, P5 public-only uninvolved review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-D-04,LAA-D,D,docs/LIVING-ALPHA-ACCEPTANCE.md,80,- relevant prior public context;,relevant prior public context;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]","[""watch-source""]","[""watch-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, P5 public-only uninvolved review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-D-05,LAA-D,D,docs/LIVING-ALPHA-ACCEPTANCE.md,81,- what remains unknown.,what remains unknown.,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]","[""watch-source""]","[""watch-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, P5 public-only uninvolved review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-D-06,LAA-D,D,docs/LIVING-ALPHA-ACCEPTANCE.md,83,"WATCH must not expose private cognition, restricted state, raw research candidates, or invented motives.","WATCH must not expose private cognition, restricted state, raw research candidates, or invented motives.",evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]","[""watch-source""]","[""watch-test""]",[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, P5 public-only uninvolved review.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-E-01,LAA-E,E,docs/LIVING-ALPHA-ACCEPTANCE.md,87,1. A four-hour candidate run passes before the 24-hour run opens.,A four-hour candidate run passes before the 24-hour run opens.,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, approved P5 four-hour then continuous 24-hour run and recovery receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-E-02,LAA-E,E,docs/LIVING-ALPHA-ACCEPTANCE.md,88,2. The final candidate spans at least 24 continuous hours.,The final candidate spans at least 24 continuous hours.,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, approved P5 four-hour then continuous 24-hour run and recovery receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-E-03,LAA-E,E,docs/LIVING-ALPHA-ACCEPTANCE.md,89,3. At least one planned restart or recovery drill occurs.,At least one planned restart or recovery drill occurs.,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, approved P5 four-hour then continuous 24-hour run and recovery receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-E-04,LAA-E,E,docs/LIVING-ALPHA-ACCEPTANCE.md,90,"4. Incidents, settlement lag, or stale projections are marked honestly.","Incidents, settlement lag, or stale projections are marked honestly.",evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, approved P5 four-hour then continuous 24-hour run and recovery receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-E-05,LAA-E,E,docs/LIVING-ALPHA-ACCEPTANCE.md,91,"5. Operator interventions are bounded, logged, and not used to script the desired outcome.","Operator interventions are bounded, logged, and not used to script the desired outcome.",evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P4 evidence, approved P5 four-hour then continuous 24-hour run and recovery receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-01,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,97,- exact production delta;,exact production delta;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-02,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,98,- migration and rollback procedures;,migration and rollback procedures;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-03,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,99,"- compatibility with the frozen world's Genesis, seal, history, and room bound;","compatibility with the frozen world's Genesis, seal, history, and room bound;",evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-04,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,100,- operational rehearsal result;,operational rehearsal result;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-05,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,101,- permitted public claims;,permitted public claims;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-06,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,102,- unresolved risks;,unresolved risks;,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-07,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,103,"- explicit GO, NO-GO, or NOT_COMPUTABLE status.","explicit GO, NO-GO, or NOT_COMPUTABLE status.",evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-F-08,LAA-F,F,docs/LIVING-ALPHA-ACCEPTANCE.md,105,Passing Gates A–E does not itself deploy the successor.,Passing Gates A–E does not itself deploy the successor.,evidence_gap,OBSERVED,UNPROVEN,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"P5 evidence, P6 explicit successor decision; separate deploy authorization.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
LAA-FAILURE-01,LAA-FAILURE,,docs/LIVING-ALPHA-ACCEPTANCE.md,109,"The candidate fails if it disables implemented systems to avoid integration, depends on operator-authored outcomes, grants human inhabit authority, loses settled history, fabricates WATCH meaning, or introduces deferred external-economy scope.","The candidate fails if it disables implemented systems to avoid integration, depends on operator-authored outcomes, grants human inhabit authority, loses settled history, fabricates WATCH meaning, or introduces deferred external-economy scope.",evidence_gap,OBSERVED,NO_PROMOTION,"[""acceptance""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,Pinned candidate and applicable gate review; no generic conformance inference.,Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-PREREQ-01,GC-PREREQ,C,docs/LCA-GATE-C-SCENARIO.md,20,"- Gate A candidate evidence remains honest about what is integrated, deployed, and still unproven;","Gate A candidate evidence remains honest about what is integrated, deployed, and still unproven;",evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-PREREQ-02,GC-PREREQ,C,docs/LCA-GATE-C-SCENARIO.md,21,- Gate B has at least three independently controlled external Agent Players using supported onboarding and command paths;,Gate B has at least three independently controlled external Agent Players using supported onboarding and command paths;,evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-PREREQ-03,GC-PREREQ,C,docs/LCA-GATE-C-SCENARIO.md,22,"- the world id, Genesis id, seal constraints, room bound, canonical start head, Worker source and deployed version, Specs pin, official-client or conforming Controller versions, and enabled implemented systems are pinned;","the world id, Genesis id, seal constraints, room bound, canonical start head, Worker source and deployed version, Specs pin, official-client or conforming Controller versions, and enabled implemented systems are pinned;",evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-PREREQ-04,GC-PREREQ,C,docs/LCA-GATE-C-SCENARIO.md,23,"- credential, reconnect, idempotency, contention, recovery, and redaction prerequisites have acceptance evidence;","credential, reconnect, idempotency, contention, recovery, and redaction prerequisites have acceptance evidence;",evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-PREREQ-05,GC-PREREQ,C,docs/LCA-GATE-C-SCENARIO.md,24,- planned operator actions and external inputs are declared before the run.,planned operator actions and external inputs are declared before the run.,evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-NONGOAL-01,GC-NONGOAL,C,docs/LCA-GATE-C-SCENARIO.md,32,"- new canonical Player verbs, action aliases that change semantics, or a second interaction campaign;","new canonical Player verbs, action aliases that change semantics, or a second interaction campaign;",evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
GC-NONGOAL-02,GC-NONGOAL,C,docs/LCA-GATE-C-SCENARIO.md,33,"- Genesis mutation, reseeding, force-supersession, new rooms, or room-bound expansion;","Genesis mutation, reseeding, force-supersession, new rooms, or room-bound expansion;",evidence_gap,OBSERVED,BLOCKED,"[""scenario""]",[],[],[],NOT_ESTABLISHED_FOR_CURRENT_CANDIDATE,"Accepted Gate B, P4 coupled run and candidate-bound receipts.",Named homes are inspected supporting locations only. Empty lists mean no suitable home verified in this bounded review. Test existence is not execution or acceptance.,,,
